2021-10-14 15:43:50.820; Test signal; 1; 32; 500; 6.500; BA MR
2021-10-14 15:44:55.322; Test signal; 0; 32; 500; 6.500; BA MR
2021-10-14 15:46:33.033; Test signal; 0; 32; 500; 5.548; BA DC
2021-10-14 15:47:33.721; Test signal; 1; 32; 500; 5.543; BA DC
2021-10-14 15:48:34.494; Test signal; 0; 32; 500; 5.542; BA DC
2021-10-14 15:51:54.610; Test signal; 0; 32; 500; 5.542; BA MR
2021-10-14 15:52:55.326; Test signal; 1; 32; 500; 5.546; BA MR
2021-10-14 15:53:55.334; Test signal; 0; 32; 500; 5.546; BA MR
2021-10-14 15:54:56.132; Test signal; 0; 32; 500; 5.545; BA MR
2021-10-14 15:55:56.939; Test signal; 1; 32; 500; 5.545; BA MR
2021-10-14 15:56:57.743; Saving Test signal; 1; 32; 500; 5.545; BA MR
2021-10-14 15:57:57.818; Saving Test signal; 1; 32; 500; 5.545; BA MR
2021-10-15 13:45:00.356; Test signal; 0; 32; 500; 6.500; BA DC
2021-10-15 13:46:00.355; Test signal; 0; 32; 500; 6.500; BA DC
2021-10-15 13:47:00.491; Test signal; 0; 32; 500; 6.500; BA DC
2021-10-15 13:48:01.223; Saving Test signal; 0; 32; 500; 5.542; BA DC
2021-10-15 14:02:14.785; Test signal; 1; 48; 500; 5.542, 6.500; BA DC, ExG16
2021-10-15 14:03:29.862; Test signal; 2; 48; 500; 5.544, 5.542; BA DC, ExG16
2021-10-15 14:04:29.898; Test signal; 1; 48; 500; 5.539, 5.539; BA DC, ExG16
2021-10-15 14:05:29.996; Test signal; 0; 48; 500; 5.536, 5.538; BA DC, ExG16
2021-10-15 14:06:30.000; Test signal; 1; 48; 500; 5.534, 5.538; BA DC, ExG16
2021-10-15 14:07:30.684; Test signal; 1; 48; 500; 5.533, 5.537; BA DC, ExG16
2021-10-15 14:08:30.751; Test signal; 1; 48; 500; 5.538, 5.536; BA DC, ExG16
2021-10-15 14:11:35.638; Test signal; 1; 48; 500; 5.538, 5.534; ExG16, BA DC
2021-10-15 14:12:35.725; Test signal; 1; 48; 500; 5.538, 5.538; ExG16, BA DC
2021-10-15 14:13:36.580; Test signal; 1; 48; 500; 5.538, 5.538; ExG16, BA DC
2021-10-15 14:14:37.314; Test signal; 1; 48; 500; 5.537, 5.535; ExG16, BA DC
2021-10-15 14:15:37.843; Test signal; 1; 48; 500; 5.537, 5.539; ExG16, BA DC
2021-10-15 14:16:37.917; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:17:38.582; Test signal; 1; 48; 500; 5.536, 5.538; ExG16, BA DC
2021-10-15 14:18:38.582; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:19:39.348; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:20:39.378; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:21:39.380; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:22:39.467; Test signal; 1; 48; 500; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:23:40.208; Test signal; 1; 48; 500; 5.536, 5.538; ExG16, BA DC
2021-10-15 14:36:18.057; Test signal; 1; 48; 500; 5.542, 5.544; ExG16, BA DC
2021-10-15 14:37:18.763; Test signal; 1; 48; 500; 5.538, 5.540; ExG16, BA DC
2021-10-15 14:38:19.047; Test signal; 1; 48; 1000; 5.540, 5.541; ExG16, BA DC
2021-10-15 14:39:33.467; Monitoring; 0; 48; 1000; 5.540, 5.542; ExG16, BA DC
2021-10-15 14:40:33.800; Monitoring; 1; 48; 1000; 5.539, 5.540; ExG16, BA DC
2021-10-15 14:41:34.518; Monitoring; 1; 48; 1000; 5.538, 5.539; ExG16, BA DC
2021-10-15 14:42:34.547; Monitoring; 1; 48; 1000; 5.537, 5.539; ExG16, BA DC
2021-10-15 14:43:34.606; Monitoring; 1; 48; 1000; 5.537, 5.539; ExG16, BA DC
2021-10-15 14:44:35.328; Monitoring; 1; 48; 1000; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:45:35.375; Monitoring; 1; 48; 1000; 5.537, 5.538; ExG16, BA DC
2021-10-15 14:46:35.749; Saving Test signal; 2; 48; 1000; 5.537, 5.538; ExG16, BA DC
2021-10-18 12:10:46.413; Monitoring; 1; 32; 1000; 6.500; BA MR
2021-10-18 12:11:46.395; Monitoring; 0; 32; 1000; 6.500; BA MR
2021-10-18 12:12:47.121; Monitoring; 1; 32; 1000; 6.500; BA MR
2021-10-18 12:13:47.239; Saving; 1; 32; 1000; 5.546; BA MR
2021-10-18 12:17:01.672; Monitoring; 1; 32; 1000; 5.546; BA MR
2021-10-18 12:18:01.700; Monitoring; 0; 32; 1000; 5.546; BA MR
2021-10-18 12:19:01.687; Saving; 0; 32; 1000; 5.546; BA MR
2021-10-19 10:57:24.919; ImpedanceCheck; 0; 16; 1000; 5.546; ExG16
2021-10-19 10:58:28.826; ImpedanceCheck; 0; 16; 1000; 5.544; ExG16
2021-10-19 11:44:09.501; Test signal; 0; 16; 1000; 5.544; ExG16
2021-10-19 11:46:08.414; ImpedanceCheck; 0; 2; 1000; 5.545; ExG16
2021-10-19 11:47:09.083; Test signal; 1; 2; 1000; 5.545; ExG16
2021-10-19 11:48:09.112; Test signal; 1; 2; 1000; 5.545; ExG16
2021-10-19 11:49:09.845; Test signal; 0; 2; 1000; 5.545; ExG16
2021-10-19 11:50:10.089; Monitoring; 1; 2; 1000; 5.545; ExG16
2021-10-19 11:51:10.961; Monitoring; 1; 2; 1000; 5.545; ExG16
2021-10-19 11:52:11.611; Monitoring; 0; 2; 1000; 5.545; ExG16
2021-10-19 11:53:11.710; Monitoring; 0; 2; 1000; 5.545; ExG16
2021-10-19 11:54:17.270; ImpedanceCheck; 0; 1; 1000; 5.544; ExG16
2021-10-19 11:55:30.781; Test signal; 1; 1; 1000; 5.544; ExG16
2021-10-19 11:56:30.826; Test signal; 1; 1; 1000; 5.544; ExG16
2021-10-19 11:57:31.557; Test signal; 1; 1; 1000; 5.544; ExG16
2021-10-19 11:58:31.612; Test signal; 1; 1; 1000; 5.544; ExG16
2021-10-19 11:59:32.364; Test signal; 0; 1; 1000; 5.544; ExG16
2021-10-19 12:00:32.840; Monitoring; 0; 1; 1000; 5.544; ExG16
2021-10-19 12:01:33.009; Monitoring; 0; 1; 1000; 5.544; ExG16
2021-10-19 12:02:33.808; Monitoring; 0; 1; 1000; 5.544; ExG16
2021-10-19 12:04:09.222; Monitoring; 1; 1; 1000; 5.544; ExG16
2021-10-19 12:05:09.254; Monitoring; 0; 1; 1000; 5.544; ExG16
2021-10-19 12:06:09.947; Monitoring; 0; 1; 1000; 5.544; ExG16
